stock_id,week,cluster
8382.0,2,0
8382.0,6,0
8382.0,11,0
8382.0,14,0
8382.0,15,0
8382.0,16,0
8382.0,17,0
8382.0,20,0
8382.0,21,0
8382.0,26,0
8382.0,28,0
8382.0,38,0
9323.0,2,1
9323.0,4,0
9323.0,8,0
9323.0,11,1
9323.0,17,1
9323.0,23,1
9323.0,26,1
22675.0,2,2
22675.0,4,2
22675.0,5,2
22675.0,8,2
22675.0,12,2
22675.0,19,2
22675.0,25,2
22675.0,26,2
22675.0,28,2
22675.0,29,2
22675.0,35,2
22729.0,4,0
22729.0,12,2
22729.0,14,2
22729.0,17,2
22729.0,21,2
22729.0,24,2
22729.0,28,2
22729.0,29,2
22729.0,30,2
22729.0,33,2
22729.0,35,2
22753.0,6,1
22753.0,8,1
22753.0,16,1
22753.0,17,1
22753.0,19,1
22753.0,28,1
22753.0,33,1
22753.0,37,1
22771.0,4,0
22771.0,11,0
22771.0,12,0
22771.0,14,2
22771.0,15,0
22771.0,17,2
22771.0,19,0
22771.0,23,2
22771.0,28,2
22771.0,29,0
22771.0,33,2
22771.0,34,2
22771.0,35,2
22771.0,37,2
22951.0,4,0
22951.0,8,0
22951.0,10,0
22951.0,11,0
22951.0,15,1
22951.0,21,1
22951.0,23,1
22951.0,29,1
22951.0,30,0
48219.0,4,0
48219.0,6,2
48219.0,12,0
48219.0,14,2
48219.0,16,0
48219.0,20,0
48219.0,21,2
48219.0,25,2
48219.0,29,0
48219.0,38,0
50200.0,5,1
50200.0,14,1
50200.0,21,1
50200.0,26,1
104919.0,4,1
104919.0,5,1
104919.0,9,0
104919.0,14,1
104919.0,18,1
104919.0,19,1
104919.0,24,1
104919.0,26,1
104919.0,28,1
104919.0,29,1
104919.0,32,1
104919.0,35,1
104919.0,38,1
